site,url,family,classification,status,indexable_on_page,word_count,template_ratio,unique_sentence_ratio,nearest_similarity,nearest_url,doorway_risk,duplicate_risk,thin_risk,internal_links_in,internal_links_out,title,h1,canonical,gsc_clicks_28d,gsc_impressions_28d,gsc_ctr_28d,gsc_position_28d,gsc_index_status,protected
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/gudul/evden-eve-nakliyat,ankara_district_service,KEEP,200,true,1016,0.5630,0.2216,0.7949,https://ankaraozdemirnakliyat.com/islemler/ankara/gudul/ofis-tasima,false,false,false,15,61,Güdül Evden Eve Nakliyat | Garantili Hizmet | Ankara Özdemir Nakliyat,Güdül Evden Eve Nakliyat,https://ankaraozdemirnakliyat.com/islemler/ankara/gudul/evden-eve-nakliyat,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/gudul/ofis-tasima,ankara_district_service,KEEP,200,true,995,0.5861,0.1885,0.7699,https://ankaraozdemirnakliyat.com/islemler/ankara/haymana/ofis-tasima,false,false,false,15,61,Güdül Ofis Taşıma | Garantili Hizmet | Ankara Özdemir Nakliyat,Güdül Ofis Taşıma,https://ankaraozdemirnakliyat.com/islemler/ankara/gudul/ofis-tasima,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/gudul/nakliyat-fiyatlari,ankara_district_service,KEEP,200,true,1015,0.5737,0.2004,0.7627,https://ankaraozdemirnakliyat.com/islemler/ankara/haymana/nakliyat-fiyatlari,false,false,false,14,61,Güdül Nakliyat Fiyatları | Garantili Hizmet | Ankara Özdemir Nakliyat,Güdül Nakliyat Fiyatları,https://ankaraozdemirnakliyat.com/islemler/ankara/gudul/nakliyat-fiyatlari,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/gudul/asagi,ankara_district_service,MANUAL_REVIEW,200,true,781,0.7814,0.1543,0.7799,https://ankaraozdemirnakliyat.com/islemler/ankara/gudul/yukari,true,false,false,3,49,Ankara Güdül Aşağı Evden Eve Nakliyat | Ankara Özdemir Nakliyat,Güdül Aşağı . TAŞIMACILIK,https://ankaraozdemirnakliyat.com/islemler/ankara/gudul/asagi,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/gudul/yukari,ankara_district_service,MANUAL_REVIEW,200,true,781,0.7814,0.1543,0.7790,https://ankaraozdemirnakliyat.com/islemler/ankara/gudul/yeni,true,false,false,3,49,Ankara Güdül Yukarı Evden Eve Nakliyat | Ankara Özdemir Nakliyat,Güdül Yukarı . TAŞIMACILIK,https://ankaraozdemirnakliyat.com/islemler/ankara/gudul/yukari,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/gudul/yeni,ankara_district_service,MANUAL_REVIEW,200,true,781,0.7814,0.0557,0.8101,https://ankaraozdemirnakliyat.com/islemler/ankara/kalecik/ahikemal,true,false,false,3,49,Ankara Güdül Yeni Evden Eve Nakliyat | Ankara Özdemir Nakliyat,Güdül Yeni . TAŞIMACILIK,https://ankaraozdemirnakliyat.com/islemler/ankara/gudul/yeni,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/haymana,ankara_district,MANUAL_REVIEW,200,true,1437,0.6827,0.3173,0.9102,https://ankaraozdemirnakliyat.com/islemler/ankara/kalecik,true,false,false,365,52,Haymana Evden Eve Nakliyat - Asansörlü & Sigortalı | Ankara Özdemir Nakliyat,Haymana . NAKLİYAT,https://ankaraozdemirnakliyat.com/islemler/ankara/haymana,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/haymana/evden-eve-nakliyat,ankara_district_service,MERGE,200,true,1016,0.5630,0.2216,1.0000,https://ankaraozdemirnakliyat.com/islemler/ankara/kahramankazan/evden-eve-nakliyat,true,true,false,3,61,Haymana Evden Eve Nakliyat | Garantili Hizmet | Ankara Özdemir Nakliyat,Haymana Evden Eve Nakliyat,https://ankaraozdemirnakliyat.com/islemler/ankara/haymana/evden-eve-nakliyat,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/haymana/ofis-tasima,ankara_district_service,MERGE,200,true,995,0.5861,0.1885,1.0000,https://ankaraozdemirnakliyat.com/islemler/ankara/kahramankazan/ofis-tasima,true,true,false,3,61,Haymana Ofis Taşıma | Garantili Hizmet | Ankara Özdemir Nakliyat,Haymana Ofis Taşıma,https://ankaraozdemirnakliyat.com/islemler/ankara/haymana/ofis-tasima,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/haymana/nakliyat-fiyatlari,ankara_district_service,MERGE,200,true,1015,0.5737,0.2004,1.0000,https://ankaraozdemirnakliyat.com/islemler/ankara/kahramankazan/nakliyat-fiyatlari,true,true,false,2,61,Haymana Nakliyat Fiyatları | Garantili Hizmet | Ankara Özdemir Nakliyat,Haymana Nakliyat Fiyatları,https://ankaraozdemirnakliyat.com/islemler/ankara/haymana/nakliyat-fiyatlari,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
