site,url,family,classification,status,indexable_on_page,word_count,template_ratio,unique_sentence_ratio,nearest_similarity,nearest_url,doorway_risk,duplicate_risk,thin_risk,internal_links_in,internal_links_out,title,h1,canonical,gsc_clicks_28d,gsc_impressions_28d,gsc_ctr_28d,gsc_position_28d,gsc_index_status,protected
ozdemir,https://ankaraozdemirnakliyat.com/,home,IMPROVE,200,true,397,0.0000,1.0000,0.0000,,false,false,false,965,47,Ankara Evden Eve Nakliyat | Güvenilir Taşımacılık,Ankara Evden Eve Nakliyat Şehirler Arası Uzmanlık,https://ankaraozdemirnakliyat.com,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,true
ozdemir,https://ankaraozdemirnakliyat.com/hakkimizda,static_hakkimizda,IMPROVE,200,true,134,0.0000,1.0000,0.0000,,false,false,true,965,47,Hakkımızda | Ankara Özdemir Nakliyat,Ankara Özdemir Nakliyat,https://ankaraozdemirnakliyat.com/hakkimizda,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/iletisim,static_iletisim,IMPROVE,200,true,144,0.0000,1.0000,0.0000,,false,false,true,965,47,İletişim - Profesyonel Nakliye Teklifi Alın | Ankara Özdemir Nakliyat,İletişim .,https://ankaraozdemirnakliyat.com/iletisim,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/galeri,static_galeri,IMPROVE,200,true,228,0.0000,1.0000,0.0000,,false,false,false,965,47,Galeri - Nakliyat Fotoğrafları ve Videoları | Ankara Özdemir Nakliyat,Nakliyat . Galerisi,https://ankaraozdemirnakliyat.com/galeri,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/sss,static_sss,IMPROVE,200,true,225,0.0000,1.0000,0.0000,,false,false,false,965,47,Sıkça Sorulan Sorular | Ankara Özdemir Nakliyat,Sıkça Sorulan Sorular,https://ankaraozdemirnakliyat.com/sss,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/hizmetler,static_hizmetler,KEEP,200,true,482,0.0000,1.0000,0.0000,,false,false,false,965,47,Hizmetlerimiz - Ankara Evden Eve Nakliyat | Ankara Özdemir Nakliyat,Nakliyat . Hizmetlerimiz,https://ankaraozdemirnakliyat.com/hizmetler,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/evden-eve-nakliyat,static_evden-eve-nakliyat,IMPROVE,200,true,362,0.0000,1.0000,0.0000,,false,false,false,965,47,Ankara Evden Eve Nakliyat ve Taşıma Hizmeti | Ankara Özdemir Nakliyat,Ankara . Evden Eve . Nakliyat,https://ankaraozdemirnakliyat.com/evden-eve-nakliyat,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/blog,static_blog,KEEP,200,true,2465,0.0000,1.0000,0.0000,,false,false,false,965,347,Blog - Nakliyat Rehberi ve Taşınma İpuçları | Ankara Özdemir Nakliyat,Nakliyat . Blogu.,https://ankaraozdemirnakliyat.com/blog,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/makaleler,static_makaleler,KEEP,200,true,1672,0.0000,1.0000,0.0000,,false,false,false,965,347,Nakliyat Rehberi ve Bölgesel Hizmetler | Ankara Özdemir Nakliyat,Nakliyat . Makaleleri.,https://ankaraozdemirnakliyat.com/makaleler,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/gizlilik-politikasi,static_gizlilik-politikasi,IMPROVE,200,true,414,0.0000,1.0000,0.0000,,false,false,false,965,48,Gizlilik Politikası | Ankara Özdemir Nakliyat,Gizlilik Politikası,https://ankaraozdemirnakliyat.com/gizlilik-politikasi,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
